model,taxonomic_level,familiarity,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
gpt-4o-bad-demo,family,obscure,1.7216666666666665,0.009999999999999998,1.7216666666666665,51.65,0.3,12
gpt-4o-bad-demo,family,well_known,1.7216666666666665,0.009999999999999998,1.7216666666666665,51.65,0.3,12
gpt-4o-bad-demo,genus,obscure,91.74433333333333,38.69419047619048,91.74433333333333,61.98,25.561428571428568,12
gpt-4o-bad-demo,genus,well_known,83.11933333333333,14.020287282009578,83.11933333333333,61.98,9.469752575223636,12
gpt-4o-bad-demo,order,obscure,18.797499999999996,0.009999999999999998,18.797499999999996,563.9250000000001,0.3,12
gpt-4o-bad-demo,order,well_known,18.797499999999996,0.009999999999999998,18.797499999999996,563.9250000000001,0.3,12
gpt-4o-demo,family,obscure,2.869444444444444,0.016666666666666666,2.869444444444444,86.08333333333333,0.5,12
gpt-4o-demo,family,well_known,2.869444444444444,0.016666666666666666,2.869444444444444,86.08333333333333,0.5,12
gpt-4o-demo,genus,obscure,0.2972222222222222,0.08749999999999998,0.2972222222222222,8.916666666666666,2.625,12
gpt-4o-demo,genus,well_known,0.47083333333333327,0.03936546840958605,0.47083333333333327,14.125,1.1809640522875817,12
gpt-4o-demo,order,obscure,31.329166666666666,0.016666666666666666,31.329166666666666,939.875,0.5,12
gpt-4o-demo,order,well_known,31.329166666666666,0.016666666666666666,31.329166666666666,939.875,0.5,12
gpt-4o-mini-demo,family,obscure,5.165000000000002,0.030000000000000013,5.165000000000002,68.86666666666666,0.39999999999999997,12
gpt-4o-mini-demo,family,well_known,5.165000000000002,0.030000000000000013,5.165000000000002,68.86666666666666,0.39999999999999997,12
gpt-4o-mini-demo,genus,obscure,0.2602777777777779,0.060185185185185196,0.2602777777777779,4.516666666666667,1.3055555555555556,12
gpt-4o-mini-demo,genus,well_known,0.7416666666666668,0.03990740740740741,0.7416666666666668,10.333333333333334,0.6972222222222223,12
gpt-4o-mini-demo,order,obscure,56.392500000000034,0.030000000000000013,56.392500000000034,751.8999999999997,0.39999999999999997,12
gpt-4o-mini-demo,order,well_known,56.392500000000034,0.030000000000000013,56.392500000000034,751.8999999999997,0.39999999999999997,12
